,Hindi,roman
128,"पहला, चूंकि पानीपत के युद्ध के पूर्व बाबर एवं राणा सांगा में हुए समझौते के तहत इब्राहिम के खिलापफ सांगा को बाबर के सैन्य अभियान में सहायता करनी थी, जिससे राणासांगा बाद में मुकर गये।","pahla, chunki Panipat ke yuddh ke purv babar evam Rana Sanga mein huye samjhaute ke tahat ibraahim ke khilaf Sanga ko Babar ke sainya abhiyaan mein sahayata karni thi, jisse Ranasanga baad mein mukar gaye."
129,पुर्तगाली समुद्री कुत्तों के नस्लों के प्रोफाइल,Purtgali samudhri kutten ke nasslen ke profile
130,"य़ॆ अधिक सारभूत रिवार्ड कार्यक्रम, प्रीमियम ब्रांड और बेहतर ग्राहक सेवा की प्रतिष्ठा के अतिरिक्त, एमेक्स को के संपन्न उपभोक्ताओं के असामानुपातिक भाग को आकर्षित करने की अनुमति देता है।","ye adhika sarabhuta rivarda karyakrama, primiyama branda aura behatara grahaka seva ki pratistha ke atirikta, emeksa ko ke sampanna upabhokta'om ke asamanupatika bhaga ko akarsita karane ki anumati deta hai."
131,उन्होंने अपनी आत्मकथा मूलत: पंजाबी में लिखी थी जो 1993 में हिन्दी में भी प्रकाशित हुई।,unhone apni aatmakatha mulatah punjabi mein likhi thi jo 1993 mein hindi mein bhi prakashit hui.
132,नूतन,Nutan
133,यह विश्व के किसी भी देश में विद्यमान वास्तुकला का एक उत्कृष्ट नमूना है।,Yah vishwa ke kisi bhi desh men vidyaman vastukala ka ek utkrushta namuna hai.
134,रंग दे बसंती को सर्वश्रेष्ठ विदेशी भाषा फिल्म वर्ग में गोल्डन ग्लोब पुरस्कार और अकादमी पुरस्कार के लिए भारत की आधिकारिक प्रविष्टि के रूप में चुना गया।,Rang De Basanti ko sarvshresht videshi bhasha film varg men Golden Glob purskar aur akadami purskar ke liye Bharat ki aadhikarik pravishti ke roop men chuna gaya.
135,किसी काम को पूरे मनोयोग के साथ पूरा करने में भगवती चरण बेजोड़ थे।,kisi kaam ko pure manoyog ke sath pura karne me bhagvati charan bejod the.
136,पर डीजे को ऐसा लगता है कि बाहर की दुनिया में उसके लिये कुछ नहीं रखा है।,pae DJ ko aisa lagta hai ki bahar ki duniya men uske liye kuch nahi rakkha hai.
137,"माहिम, मुंबई में ब्रिटिश किला","Mahim, Mumbai mein british kila"
138,इसे भारतीय मूर्तिकला का विश्वकोश और हिन्दू देवी देवताओं का अजायबघर कहते हैं।,ise bharatiya murtikala ka vishvkosh aur hindu devi devatao ka ajayabaghar kehte hai.
139,इस इस्पात को गरम करके पिटाई की जाती है जिससे यह समरस हो जाए।,is ispat ko garam karke pitai ki jati hai jisse yeh samaras ho jae.
140,"कंपनी का तकनीकी केंद्र वेस्टन, एफ़एल में है।","Company ka takniki kendra Western, FL men hai."
141,मानसून के मौसम से पहले इनकी पुकारने की बारंबारता बढ़ जाती है और अधिक तेज शोर से परेशान होकर यह अलार्म की तरह आवाज निकालने लगते हैं।,Monsoon ke mausam se pahale inki pukarne ki barambarita badh jati hai aur adhik tez shor se pareshan hokar yah alarm ki tarah avaj nikalne lagte hain.
142,गढिया किले के पूर्वी दिशा मे स्थित द्वार धरमदेव राजा के नाम पर धरम द्वार कहलाता था।,Gadhiyaa kile ke purvi disha me sthit dvaar Dharamdev raja ke naam par dharam dvaar kahlata tha.
143,पन्ना दरबार इसी के बाद छत्रसाल के नेतृत्व में उन्नति करता है।,Panna darbaar isi ke baad Chhatrasaal ke netrutw men unnati karta hai.
